pin,slack
line_write_read_0/xy_display_1/RPOINTS_0/next_index_base[3]:CLK,6313
line_write_read_0/xy_display_1/RPOINTS_0/next_index_base[3]:D,8856
line_write_read_0/xy_display_1/RPOINTS_0/next_index_base[3]:Q,6313
line_write_read_0/xy_generator_0/un51_data_valid_i_8:A,3015
line_write_read_0/xy_generator_0/un51_data_valid_i_8:B,2953
line_write_read_0/xy_generator_0/un51_data_valid_i_8:C,2898
line_write_read_0/xy_generator_0/un51_data_valid_i_8:D,2797
line_write_read_0/xy_generator_0/un51_data_valid_i_8:Y,2797
line_write_read_0/xy_generator_0/un51_data_valid_i_10:A,2964
line_write_read_0/xy_generator_0/un51_data_valid_i_10:B,1863
line_write_read_0/xy_generator_0/un51_data_valid_i_10:C,2888
line_write_read_0/xy_generator_0/un51_data_valid_i_10:D,2807
line_write_read_0/xy_generator_0/un51_data_valid_i_10:Y,1863
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_266:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_266:IPB,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif1_core_q1:ALn,6409
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif1_core_q1:CLK,8856
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif1_core_q1:D,5025
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif1_core_q1:Q,8856
line_write_read_0/xy_display_1/RPOINTS_0/next_index_base[18]:ALn,
line_write_read_0/xy_display_1/RPOINTS_0/next_index_base[18]:CLK,7991
line_write_read_0/xy_display_1/RPOINTS_0/next_index_base[18]:D,5641
line_write_read_0/xy_display_1/RPOINTS_0/next_index_base[18]:Q,7991
line_write_read_0/xy_generator_0/un59_data_valid_i_7:A,3791
line_write_read_0/xy_generator_0/un59_data_valid_i_7:B,3736
line_write_read_0/xy_generator_0/un59_data_valid_i_7:C,3702
line_write_read_0/xy_generator_0/un59_data_valid_i_7:D,3634
line_write_read_0/xy_generator_0/un59_data_valid_i_7:Y,3634
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o[5]:ALn,
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o[5]:CLK,8563
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o[5]:D,1631
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o[5]:EN,2372
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o[5]:Q,8563
line_write_read_0/Image_Enhancement_0/s_term1_r[12]:ALn,
line_write_read_0/Image_Enhancement_0/s_term1_r[12]:CLK,7868
line_write_read_0/Image_Enhancement_0/s_term1_r[12]:D,5457
line_write_read_0/Image_Enhancement_0/s_term1_r[12]:EN,4571
line_write_read_0/Image_Enhancement_0/s_term1_r[12]:Q,7868
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_278:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_278:IPB,
line_write_read_0/xy_display_1/WPOINTS_0/a_d_o[7]:ALn,
line_write_read_0/xy_display_1/WPOINTS_0/a_d_o[7]:CLK,8644
line_write_read_0/xy_display_1/WPOINTS_0/a_d_o[7]:D,3534
line_write_read_0/xy_display_1/WPOINTS_0/a_d_o[7]:EN,2401
line_write_read_0/xy_display_1/WPOINTS_0/a_d_o[7]:Q,8644
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_8:B,6355
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_8:C,5376
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_8:IPB,6355
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/CFG_8:IPC,5376
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o_0_sqmuxa_1:A,2705
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o_0_sqmuxa_1:B,2651
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o_0_sqmuxa_1:C,3304
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o_0_sqmuxa_1:D,3429
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o_0_sqmuxa_1:Y,2651
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C2/FF_35:IPENn,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C4/CFG_12:C,8563
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C4/CFG_12:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C4/CFG_12:IPC,8563
line_write_read_0/WRITE_LSRAM_0/s_v_counter[4]:ALn,
line_write_read_0/WRITE_LSRAM_0/s_v_counter[4]:CLK,4743
line_write_read_0/WRITE_LSRAM_0/s_v_counter[4]:D,4646
line_write_read_0/WRITE_LSRAM_0/s_v_counter[4]:EN,7725
line_write_read_0/WRITE_LSRAM_0/s_v_counter[4]:Q,4743
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_25:C,8717
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_25:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_25:IPC,8717
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_13:C,8554
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_13:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_13:IPC,8554
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_27:IPB,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_27:IPC,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C7/CFG_31:C,8687
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C7/CFG_31:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C7/CFG_31:IPC,8687
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/FF_4:IPCLKn,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/FF_4:IPENn,
line_write_read_0/xy_display_1/WPOINTS_0/buf8bits[5]:ALn,
line_write_read_0/xy_display_1/WPOINTS_0/buf8bits[5]:CLK,3963
line_write_read_0/xy_display_1/WPOINTS_0/buf8bits[5]:D,483
line_write_read_0/xy_display_1/WPOINTS_0/buf8bits[5]:EN,2234
line_write_read_0/xy_display_1/WPOINTS_0/buf8bits[5]:Q,3963
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C7/CFG_26:C,8702
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C7/CFG_26:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C7/CFG_26:IPC,8702
line_write_read_0/xy_generator_0/y[1]:CLK,8856
line_write_read_0/xy_generator_0/y[1]:D,1793
line_write_read_0/xy_generator_0/y[1]:Q,8856
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_16:C,8827
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_16:IPB,
line_write_read_0/ramDualPort_0/ram_ram_0_0/CFG_16:IPC,8827
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif0_core_q1:ALn,6409
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif0_core_q1:CLK,8856
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif0_core_q1:D,5025
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/release_sdif0_core_q1:Q,8856
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.N_182_i:A,-1
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.N_182_i:B,7692
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.N_182_i:C,2611
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.N_182_i:Y,-1
line_write_read_0/xy_display_1/RPOINTS_0/index_true_3[10]:A,4832
line_write_read_0/xy_display_1/RPOINTS_0/index_true_3[10]:B,4543
line_write_read_0/xy_display_1/RPOINTS_0/index_true_3[10]:Y,4543
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/FF_11:IPCLKn,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/FF_11:IPENn,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/CONFIG1_DONE_q1:ALn,6409
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/CONFIG1_DONE_q1:CLK,8856
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/CONFIG1_DONE_q1:Q,8856
line_write_read_0/xy_display_1/WPOINTS_0/s_state24_cry_12:A,3147
line_write_read_0/xy_display_1/WPOINTS_0/s_state24_cry_12:B,3044
line_write_read_0/xy_display_1/WPOINTS_0/s_state24_cry_12:FCI,2886
line_write_read_0/xy_display_1/WPOINTS_0/s_state24_cry_12:FCO,2886
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C3/FF_35:IPENn,
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o_4_f0[9]:A,7878
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o_4_f0[9]:B,7793
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o_4_f0[9]:C,7868
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o_4_f0[9]:Y,7793
line_write_read_0/xy_display_1/WPOINTS_0/xy_true_index[16]:ALn,
line_write_read_0/xy_display_1/WPOINTS_0/xy_true_index[16]:CLK,569
line_write_read_0/xy_display_1/WPOINTS_0/xy_true_index[16]:D,3179
line_write_read_0/xy_display_1/WPOINTS_0/xy_true_index[16]:Q,569
line_write_read_0/xy_display_1/COREFIFO_C0_0/COREFIFO_C0_0/genblk16.fifo_corefifo_sync_scntr/memwaddr_r_cry[2]:B,7748
line_write_read_0/xy_display_1/COREFIFO_C0_0/COREFIFO_C0_0/genblk16.fifo_corefifo_sync_scntr/memwaddr_r_cry[2]:C,5708
line_write_read_0/xy_display_1/COREFIFO_C0_0/COREFIFO_C0_0/genblk16.fifo_corefifo_sync_scntr/memwaddr_r_cry[2]:FCI,5678
line_write_read_0/xy_display_1/COREFIFO_C0_0/COREFIFO_C0_0/genblk16.fifo_corefifo_sync_scntr/memwaddr_r_cry[2]:FCO,5678
line_write_read_0/xy_display_1/COREFIFO_C0_0/COREFIFO_C0_0/genblk16.fifo_corefifo_sync_scntr/memwaddr_r_cry[2]:S,5715
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_238:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_238:IPB,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/INIT_DONE:A,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/INIT_DONE:B,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/INIT_DONE:Y,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_72:IPA,
UART_interface_0/addr_decoder_0/red_const_o[9]:ALn,6376
UART_interface_0/addr_decoder_0/red_const_o[9]:CLK,5421
UART_interface_0/addr_decoder_0/red_const_o[9]:D,8836
UART_interface_0/addr_decoder_0/red_const_o[9]:EN,5539
UART_interface_0/addr_decoder_0/red_const_o[9]:Q,5421
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m22_e_4:A,2649
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m22_e_4:B,2605
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m22_e_4:C,2522
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m22_e_4:D,2421
line_write_read_0/LCD_FSM_0/s_state_ns_5_0_.m22_e_4:Y,2421
line_write_read_0/xy_display_1/RPOINTS_0/index_true[19]:ALn,
line_write_read_0/xy_display_1/RPOINTS_0/index_true[19]:CLK,5650
line_write_read_0/xy_display_1/RPOINTS_0/index_true[19]:D,4600
line_write_read_0/xy_display_1/RPOINTS_0/index_true[19]:Q,5650
line_write_read_0/xy_display_1/WPOINTS_0/buf8bits_33_15_0[5]:A,3968
line_write_read_0/xy_display_1/WPOINTS_0/buf8bits_33_15_0[5]:B,3963
line_write_read_0/xy_display_1/WPOINTS_0/buf8bits_33_15_0[5]:Y,3963
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_11:B,6405
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_11:C,5484
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_11:D,6348
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_11:IPB,6405
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_11:IPC,5484
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_11:IPD,6348
line_write_read_0/xy_display_1/WPOINTS_0/xy_virtual_index_4_cry_5_0:A,7636
line_write_read_0/xy_display_1/WPOINTS_0/xy_virtual_index_4_cry_5_0:B,4969
line_write_read_0/xy_display_1/WPOINTS_0/xy_virtual_index_4_cry_5_0:C,6050
line_write_read_0/xy_display_1/WPOINTS_0/xy_virtual_index_4_cry_5_0:D,7195
line_write_read_0/xy_display_1/WPOINTS_0/xy_virtual_index_4_cry_5_0:FCI,4894
line_write_read_0/xy_display_1/WPOINTS_0/xy_virtual_index_4_cry_5_0:FCO,4894
line_write_read_0/xy_display_1/WPOINTS_0/xy_virtual_index_4_cry_5_0:S,5119
line_write_read_0/xy_display_1/WPOINTS_0/un1_y_mulonly_0[20_8]/U0/CFG_34:IPB,
line_write_read_0/xy_display_1/WPOINTS_0/un1_y_mulonly_0[20_8]/U0/CFG_34:IPC,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C7/FF_33:EN,8815
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C7/FF_33:IPENn,8815
line_write_read_0/xy_display_1/WPOINTS_0/s_state24_cry_1:B,2901
line_write_read_0/xy_display_1/WPOINTS_0/s_state24_cry_1:FCI,2886
line_write_read_0/xy_display_1/WPOINTS_0/s_state24_cry_1:FCO,2886
line_write_read_0/xy_display_1/WPOINTS_0/next_erase_virtual_index[16]:ALn,
line_write_read_0/xy_display_1/WPOINTS_0/next_erase_virtual_index[16]:CLK,1205
line_write_read_0/xy_display_1/WPOINTS_0/next_erase_virtual_index[16]:D,3971
line_write_read_0/xy_display_1/WPOINTS_0/next_erase_virtual_index[16]:EN,4266
line_write_read_0/xy_display_1/WPOINTS_0/next_erase_virtual_index[16]:Q,1205
line_write_read_0/xy_display_1/RPOINTS_0/next_index_base[19]:ALn,
line_write_read_0/xy_display_1/RPOINTS_0/next_index_base[19]:CLK,7991
line_write_read_0/xy_display_1/RPOINTS_0/next_index_base[19]:D,5589
line_write_read_0/xy_display_1/RPOINTS_0/next_index_base[19]:Q,7991
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o_0_sqmuxa_7:A,3693
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o_0_sqmuxa_7:B,5353
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o_0_sqmuxa_7:C,4180
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o_0_sqmuxa_7:D,4244
line_write_read_0/xy_display_1/WPOINTS_0/a_addr_o_0_sqmuxa_7:Y,3693
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R1C1/FF_35:IPENn,
line_write_read_0/xy_display_1/COREFIFO_C0_0/COREFIFO_C0_0/genblk22.UI_ram_wrapper_1/U5_syncnonpipe/COREFIFO_C0_COREFIFO_C0_0_USRAM_top_R0C0/CFG_24:C,8676
line_write_read_0/xy_display_1/COREFIFO_C0_0/COREFIFO_C0_0/genblk22.UI_ram_wrapper_1/U5_syncnonpipe/COREFIFO_C0_COREFIFO_C0_0_USRAM_top_R0C0/CFG_24:IPC,8676
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/FF_22:IPENn,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_2:C,5400
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_2:IPB,
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/CFG_2:IPC,5400
rd_o_obuf/U0/U_IOOUTFF:A,
rd_o_obuf/U0/U_IOOUTFF:Y,
line_write_read_0/xy_display_1/ROW_PTR_0/INDEX[14]:ALn,
line_write_read_0/xy_display_1/ROW_PTR_0/INDEX[14]:CLK,768
line_write_read_0/xy_display_1/ROW_PTR_0/INDEX[14]:D,6281
line_write_read_0/xy_display_1/ROW_PTR_0/INDEX[14]:EN,6493
line_write_read_0/xy_display_1/ROW_PTR_0/INDEX[14]:Q,768
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_0_317_a6_1_0:A,5583
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_0_317_a6_1_0:B,5537
line_write_read_0/LCD_FSM_0/START_GEN.data_o_13_iv_0_317_a6_1_0:Y,5537
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o[8]:ALn,
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o[8]:CLK,8955
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o[8]:D,7749
line_write_read_0/xy_display_1/xy_fifo_control_0/data_o[8]:Q,8955
line_write_read_0/xy_generator_0/y_drifter_RNI9R0J1[5]:B,6624
line_write_read_0/xy_generator_0/y_drifter_RNI9R0J1[5]:FCI,2501
line_write_read_0/xy_generator_0/y_drifter_RNI9R0J1[5]:FCO,2501
line_write_read_0/xy_generator_0/y_drifter_RNI9R0J1[5]:S,3671
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.m10:A,2546
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.m10:B,2541
line_write_read_0/xy_display_1/WPOINTS_0/s_state_ns_5_0_.m10:Y,2541
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0ll.CUARTO0Il_11[6]:A,6937
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0ll.CUARTO0Il_11[6]:B,7906
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO0ll.CUARTO0Il_11[6]:Y,6937
line_write_read_0/xy_display_1/WPOINTS_0/un1_s_state_33_5_RNO_4:A,3723
line_write_read_0/xy_display_1/WPOINTS_0/un1_s_state_33_5_RNO_4:B,3644
line_write_read_0/xy_display_1/WPOINTS_0/un1_s_state_33_5_RNO_4:C,3554
line_write_read_0/xy_display_1/WPOINTS_0/un1_s_state_33_5_RNO_4:D,3506
line_write_read_0/xy_display_1/WPOINTS_0/un1_s_state_33_5_RNO_4:Y,3506
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C1/CFG_24:C,8758
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C1/CFG_24:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C1/CFG_24:IPC,8758
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C5/CFG_25:C,8717
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C5/CFG_25:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C5/CFG_25:IPC,8717
line_write_read_0/xy_display_1/WPOINTS_0/un1_s_state_35[1]:A,2821
line_write_read_0/xy_display_1/WPOINTS_0/un1_s_state_35[1]:B,1775
line_write_read_0/xy_display_1/WPOINTS_0/un1_s_state_35[1]:C,986
line_write_read_0/xy_display_1/WPOINTS_0/un1_s_state_35[1]:D,569
line_write_read_0/xy_display_1/WPOINTS_0/un1_s_state_35[1]:Y,569
line_write_read_0/Image_Enhancement_0/un1_r_const_i_muladd_0[35_18]/U0/FF_32:IPENn,
line_write_read_0/WRITE_LSRAM_0/s_h_counter_s[9]:B,4638
line_write_read_0/WRITE_LSRAM_0/s_h_counter_s[9]:C,7695
line_write_read_0/WRITE_LSRAM_0/s_h_counter_s[9]:FCI,4535
line_write_read_0/WRITE_LSRAM_0/s_h_counter_s[9]:S,4535
UART_interface_0/addr_decoder_0/green_const_o[2]:ALn,6376
UART_interface_0/addr_decoder_0/green_const_o[2]:CLK,5391
UART_interface_0/addr_decoder_0/green_const_o[2]:D,8836
UART_interface_0/addr_decoder_0/green_const_o[2]:EN,5539
UART_interface_0/addr_decoder_0/green_const_o[2]:Q,5391
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C3/FF_32:IPENn,
line_write_read_0/double_flop_0/s_data2[0]:CLK,8856
line_write_read_0/double_flop_0/s_data2[0]:D,8856
line_write_read_0/double_flop_0/s_data2[0]:EN,
line_write_read_0/double_flop_0/s_data2[0]:Q,8856
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO1ll.CUARTI0I_9_1:A,6770
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO1ll.CUARTI0I_9_1:B,6718
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO1ll.CUARTI0I_9_1:C,6540
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTO1ll.CUARTI0I_9_1:Y,6540
line_write_read_0/xy_display_1/COREFIFO_C0_0/COREFIFO_C0_0/Q[7]:A,2046
line_write_read_0/xy_display_1/COREFIFO_C0_0/COREFIFO_C0_0/Q[7]:B,2120
line_write_read_0/xy_display_1/COREFIFO_C0_0/COREFIFO_C0_0/Q[7]:C,532
line_write_read_0/xy_display_1/COREFIFO_C0_0/COREFIFO_C0_0/Q[7]:D,1828
line_write_read_0/xy_display_1/COREFIFO_C0_0/COREFIFO_C0_0/Q[7]:Y,532
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_32:C,8721
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_32:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_32:IPC,8721
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTl0Il_0_sqmuxa_0_a4:A,6653
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTl0Il_0_sqmuxa_0_a4:B,6603
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTl0Il_0_sqmuxa_0_a4:C,6443
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTl0Il_0_sqmuxa_0_a4:Y,6443
RX_ibuf/U0/U_IOINFF:A,
RX_ibuf/U0/U_IOINFF:Y,
line_write_read_0/xy_generator_0/un4_data_valid_i_6:A,2003
line_write_read_0/xy_generator_0/un4_data_valid_i_6:B,1914
line_write_read_0/xy_generator_0/un4_data_valid_i_6:C,1867
line_write_read_0/xy_generator_0/un4_data_valid_i_6:D,1739
line_write_read_0/xy_generator_0/un4_data_valid_i_6:Y,1739
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_20:C,8396
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_20:IPB,
line_write_read_0/xy_display_1/DPSRAM_C0_0/DPSRAM_C0_0/DPSRAM_C0_DPSRAM_C0_0_DPSRAM_R0C6/CFG_20:IPC,8396
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_219:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_219:IPB,
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_state[4]:ALn,6409
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_state[4]:CLK,7906
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_state[4]:D,5694
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/sm0_state[4]:Q,7906
line_write_read_0/xy_display_1/ROW_PTR_0/INDEX[4]:ALn,
line_write_read_0/xy_display_1/ROW_PTR_0/INDEX[4]:CLK,839
line_write_read_0/xy_display_1/ROW_PTR_0/INDEX[4]:D,6439
line_write_read_0/xy_display_1/ROW_PTR_0/INDEX[4]:EN,6493
line_write_read_0/xy_display_1/ROW_PTR_0/INDEX[4]:Q,839
line_write_read_0/Image_Enhancement_0/s_term1_b[16]:ALn,
line_write_read_0/Image_Enhancement_0/s_term1_b[16]:CLK,6857
